Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes,Sentiment,Text
Software Engineer 2,Bengaluru/Bangalore,Full Time,Software Development Department,0 Apr 2022,4.0,5.0,5.0,4.0,5.0,5.0,5.0,nice work culture and good perks and benefits,just one thing if they can provide work from home opportunity for those who are not having any hardware dependency for the projects,1,nice work culture and good perks and benefits just one thing if they can provide work from home opportunity for those who are not having any hardware dependency for the projects
Software Technologist Ii,Bangalore Rural,Full Time,Software Development Department,9 Jun 2022,3.0,4.0,4.0,3.0,3.0,3.0,4.0,unlimited sick leaves,theres is interaction between india team and head quarters team,0,unlimited sick leaves theres is interaction between india team and head quarters team
Senior Manager - Data Science,Bengaluru,Full Time,Technology / IT Department,4 Jun 2022,3.0,3.0,3.0,3.0,3.0,3.0,3.0,nice organisation,less to no growth after joining the organisation cant plan long term,0,nice organisation less to no growth after joining the organisation cant plan long term
Business Performance Leader,Pimpri-Chinchwad,Full Time,SCM & Logistics Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,company that believes psychological safety is important element of culture and drives people engagement is definitely a best place to work,nothing,1,company that believes psychological safety is important element of culture and drives people engagement is definitely a best place to work nothing
Senior Manager Procurement,Pune,,Procurement & Purchase Department,9 Jun 2022,5.0,5.0,5.0,5.0,4.0,4.0,5.0,work life balance,complexity in org structure,1,work life balance complexity in org structure
Software Technologist 2,"Bengaluru/Bangalore, Karnataka",,Software Development Department,1 Jul 2022,4.0,4.0,2.0,3.0,5.0,4.0,3.0,good work life balance,"no permanent work from home
10 variable bonus but you never get even 50 paid off",1,"good work life balance no permanent work from home
10 variable bonus but you never get even 50 paid off"
Assistant Manager AR Collection Team.,"Gurgaon/Gurugram, Haryana",,Finance & Accounts Department,5 May 2022,5.0,4.0,5.0,3.0,3.0,2.0,3.0,mnc company good culture and  lot of things to learn,under pressure and not appreciation of your work,1,mnc company good culture and  lot of things to learn under pressure and not appreciation of your work
Assistant Manager Marketing,"Gurgaon/Gurugram, Haryana",,Marketing Department,5 Mar 2023,3.0,3.0,2.0,2.0,3.0,2.0,2.0,even after working so hard you will get pennies during the time of increment,work culture is so toxic here  so much politics ,0,even after working so hard you will get pennies during the time of increment work culture is so toxic here  so much politics 
Software Engineer Ii,Banglore,Full Time,Software Development Department,3 Sep 2022,5.0,4.0,4.0,4.0,5.0,5.0,3.0,i can see my self every day growing in this or that way  learn and earn is the rule,healthcare domain is quite pace domain where process are just complex so it will just increase your patience,1,i can see my self every day growing in this or that way  learn and earn is the rule healthcare domain is quite pace domain where process are just complex so it will just increase your patience
Sap Operator,Kanera,Full Time,SCM & Logistics Department,6 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good work environment and culture teammates are supportive,there is lot of politics and the management doesnt address,1,good work environment and culture teammates are supportive there is lot of politics and the management doesnt address
Software Technologist 1,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,0 Aug 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,everything there is so much to learn n work with the medical and health care,nothing to dislike,1,everything there is so much to learn n work with the medical and health care nothing to dislike
Architect,Bengaluru/Bangalore,Full Time,Software Development Department,7 Jun 2022,3.0,4.0,2.0,2.0,2.0,3.0,2.0,work life balance,very much hierarchy based even a small change takes lot of time,0,work life balance very much hierarchy based even a small change takes lot of time
Sdet-i,"Bengaluru/Bangalore, Karnataka",Full Time,,2 Jun 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,good best excellent condition for your family in your life,no never nothing good always best wishes,1,good best excellent condition for your family in your life no never nothing good always best wishes
Software Engineer 2,Bangalore Rural,Contractual,Business Intelligence & Analytics Department,4 Jun 2022,5.0,4.0,4.0,4.0,5.0,4.0,3.0,job security benefits work life balance and work culture is great,working hours more then 9 hours some times in month end,1,job security benefits work life balance and work culture is great working hours more then 9 hours some times in month end
Senior Consultant,Chennai,,Software Development Department,7 May 2022,4.0,3.0,4.0,3.0,4.0,3.0,3.0,working hours and insurance polices,working culture is so good,1,working hours and insurance polices working culture is so good
Global Supplier Quality,"Pune, Maharashtra",,SQE Department,9 Sep 2022,5.0,5.0,5.0,4.0,5.0,5.0,4.0,nothing is for dislike,its a big brand and was one of the dream company for me,1,nothing is for dislike its a big brand and was one of the dream company for me
Technical Writer,Manyata Tech Park,,Content Management (Print / Online / Electronic) Department,4 Nov 2022,2.0,3.0,2.0,3.0,1.0,3.0,1.0,the team is region and language biased, flexible work hours,-1,the team is region and language biased  flexible work hours
"Finance Commercial Manager (Online, Traditional Trade & Export Business)","Gurgaon/Gurugram, Haryana",,Finance Department,4 Jun 2022,4.0,4.0,3.0,3.0,3.0,4.0,3.0,management quality  no career path,,1,management quality  no career path 
Operational Procurement Specialist,Pune,Full Time,Procurement & Purchase Department,4 Jun 2022,5.0,4.0,5.0,4.0,5.0,5.0,4.0,job security,work life balance should be maintained employees should be recognised as per work,1,job security work life balance should be maintained employees should be recognised as per work
Customer Service Executive,Orrisa,Full Time,Voice / Blended Department,4 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,such a excellent organization they are get chance to fresher and you can learn much more here  everyone supporttable,very good company i like philips,1,such a excellent organization they are get chance to fresher and you can learn much more here  everyone supporttable very good company i like philips
Senior Domain Consultant -General Manager,"Kolkata, West Bengal",Full Time,Service Delivery Department,3 Aug 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,there is nothing which i can say,work culture,1,there is nothing which i can say work culture
Data Scientist,"Bengaluru/Bangalore, Karnataka",,Data Science & Machine Learning Department,8 Aug 2022,4.0,5.0,3.0,3.0,4.0,5.0,3.0,learning pay structure career development,worklife balance is the main thing that attracts more,1,learning pay structure career development worklife balance is the main thing that attracts more
Accountant,Mallappally,,Accounting & Taxation Department,8 Jul 2022,4.0,5.0,4.0,3.0,3.0,3.0,3.0,salary hikes are not proper,peers,1,salary hikes are not proper peers
Software Technologist 1,Bengaluru/Bangalore,,"Operations, Maintenance & Support Department",0 May 2023,2.0,3.0,1.0,1.0,1.0,1.0,1.0,manager attitude selfish nature made me to quit,good work environment and culture teammates are supportive and the management is transparent there are is a huge cafeteria and gaming acrade for chilling company policies are good appraisals are fair and they give good salary,-1,manager attitude selfish nature made me to quit good work environment and culture teammates are supportive and the management is transparent there are is a huge cafeteria and gaming acrade for chilling company policies are good appraisals are fair and they give good salary
Isd,Bareilly,,kitchen home appliances Department,5 Feb 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,salary is decent but career growth is slow,learning opportunities,1,salary is decent but career growth is slow learning opportunities
Senior Architect,Bengaluru/Bangalore,,Software Development Department,1 Jun 2022,4.0,4.0,5.0,4.0,3.0,3.0,3.0,old style working company,great opportunity to learn and grow work life balance and company culture is good,1,old style working company great opportunity to learn and grow work life balance and company culture is good
Quality And Regulatory Engineer,Pune,,Quality and regulatory Department,7 May 2022,5.0,5.0,5.0,5.0,5.0,5.0,5.0,nothing,employee benefits,1,nothing employee benefits
Senior Software Engineer,"Pimpri-Chinchwad, Maharashtra",,Software Development Department,5 Jul 2022,5.0,5.0,5.0,5.0,5.0,5.0,3.0,lot of process work,,1,lot of process work 
"Deputy Manager, Order Management",Gurgaon/Gurugram,Full Time,SCM & Logistics Department,7 Apr 2022,4.0,4.0,4.0,4.0,5.0,5.0,4.0,"flexible working hours
growth opportunities",less cross functional exposure particularly in philips india,1,"flexible working hours
growth opportunities less cross functional exposure particularly in philips india"
Team Manager,Chennai,Full Time,,6 Oct 2022,5.0,5.0,3.0,5.0,3.0,3.0,4.0,working culture and the balance,mostly we didnt feel any negitive,1,working culture and the balance mostly we didnt feel any negitive
Manager Manufacturing Engineering,Pune,Full Time,Engineering Department,9 May 2023,4.0,3.0,3.0,5.0,3.0,4.0,4.0,salary and perks are good,nothing,1,salary and perks are good nothing
General Manager,"Chennai, Tamil Nadu",Full Time,Procurement & Purchase Department,3 Aug 2022,4.0,5.0,3.0,4.0,4.0,4.0,4.0,work life balance,too slow to change,1,work life balance too slow to change
Assistant Manager,KOLKATA,Full Time,Retail & B2C Sales Department,4 Feb 2022,4.0,5.0,5.0,4.0,4.0,4.0,5.0,overall circumstances is good  developed self skill from every angle ,required end to end interactions to resolve few official matter hr related matter those who are just new ,1,overall circumstances is good  developed self skill from every angle  required end to end interactions to resolve few official matter hr related matter those who are just new 
Executive Sales And Marketing,"Siliguri, West Bengal",Full Time,Marketing Department,5 Nov 2022,4.0,5.0,5.0,4.0,3.0,5.0,4.0,work culture clarity of work upper management,not such dislikes its manageable,1,work culture clarity of work upper management not such dislikes its manageable
Senior Architect,Bengaluru/Bangalore,,Software Development Department,7 Dec 2021,2.0,1.0,3.0,1.0,1.0,1.0,1.0,there seems to be nothing which you like working here,politics all over the hierarchy recently all of the us managed jobs are moved to india therefore the quality of the job in hand is in question as the management tend to prioritize favouritism over skilled labour prioritization of work is always done based on personal interest,-1,there seems to be nothing which you like working here politics all over the hierarchy recently all of the us managed jobs are moved to india therefore the quality of the job in hand is in question as the management tend to prioritize favouritism over skilled labour prioritization of work is always done based on personal interest
